PROCNUM,ADJFACTOR,AGE2,RACE4,INCOME5,IRINSUR4,IRSEX,MALE,YOTMTHLP,WHITE,HISPB,NONE,SMHVST,YOUNG,VEREP,VESTR,adj_wt,p,r
17,1.1039,5,1,4,1,2,0,4,1,0,0,3,0,01,30051,1365.3794132,0.7502601056,1
17,1.1575,1,2,2,1,2,0,4,0,1,1,0,1,01,30008,2783.1932149,0.880797078,1
17,1.0414,6,4,2,1,2,0,2,0,1,0,2,0,02,30032,1730.2571408,0.8021838886,1
17,1.0440,6,1,3,1,1,1,3,1,0,1,0,0,02,30024,982.84501948,0.880797078,1
17,1.0593,3,1,2,1,2,0,2,1,0,0,3,0,02,30055,1419.4798676,0.7502601056,1
17,1.1474,2,4,2,1,1,1,4,0,1,0,4,1,01,30039,343.01280819,0.6899744811,1
17,1.0445,5,2,1,1,2,0,2,0,1,0,1,0,01,30034,501.29165616,0.8455347349,1
17,1.1495,2,1,3,1,2,0,1,1,0,1,0,1,02,30054,701.62687463,0.880797078,1
17,1.0582,4,1,2,1,1,1,2,1,0,0,3,0,02,30029,1594.4607887,0.7502601056,1
17,1.1230,4,1,2,1,2,0,3,1,0,1,0,0,01,30057,2365.9864238,0.880797078,1
17,1.0198,5,1,1,1,2,0,5,1,0,0,3,0,01,30017,1587.0355022,0.7502601056,1
17,1.0593,3,1,2,1,2,0,2,1,0,1,0,0,02,30007,245.96239432,0.880797078,1
17,1.1325,4,4,3,1,2,0,3,0,1,0,5,0,02,30027,831.80158419,0.6224593312,0
17,1.0670,6,1,4,1,2,0,3,1,0,0,4,0,02,30010,1805.080163,0.6899744811,1
17,1.0596,5,1,2,1,2,0,1,1,0,0,4,0,02,30029,1852.3885874,0.6899744811,0
17,1.0200,6,2,1,1,2,0,2,0,1,0,5,0,02,30042,255.39067955,0.6224593312,0
17,1.0922,5,2,2,1,2,0,2,0,1,1,0,0,01,30042,168.29893764,0.880797078,1
17,1.0198,6,1,3,1,2,0,5,1,0,1,0,0,01,30051,770.82587667,0.880797078,1
17,1.0197,6,1,3,1,1,1,1,1,0,0,1,0,01,30031,690.66246062,0.8455347349,1
17,1.0458,2,1,1,1,1,1,1,1,0,0,5,1,02,30057,1005.1078877,0.6224593312,1
17,1.0682,5,1,3,1,1,1,4,1,0,0,4,0,01,30034,555.99785529,0.6899744811,1
17,1.0959,4,1,4,1,2,0,4,1,0,0,4,0,02,30006,2242.8233135,0.6899744811,0
17,1.0955,4,1,4,1,2,0,2,1,0,0,4,0,02,30049,520.74194376,0.6899744811,1
17,1.0922,5,1,2,1,2,0,2,1,0,1,0,0,01,30051,1351.1292085,0.880797078,1
17,1.1325,4,1,3,1,2,0,3,1,0,0,3,0,01,30011,444.12141189,0.7502601056,1
17,1.0319,6,1,4,1,1,1,4,1,0,0,5,0,02,30060,852.5904072,0.6224593312,1
17,1.0425,4,1,4,1,2,0,5,1,0,1,0,0,02,30036,192.99820207,0.880797078,1
17,1.0288,6,1,3,1,2,0,1,1,0,1,0,0,02,30054,995.9888085,0.880797078,1
17,1.2147,2,4,2,1,2,0,2,0,1,1,0,1,02,30018,183.82535982,0.880797078,1
17,1.0857,3,1,2,1,2,0,3,1,0,0,3,0,01,30034,465.35579225,0.7502601056,1
17,1.0282,3,1,3,1,1,1,1,1,0,0,5,0,02,30005,2184.2223523,0.6224593312,1
17,1.0630,4,1,3,1,1,1,4,1,0,0,1,0,02,30019,2006.9925329,0.8455347349,0
17,1.3341,2,4,3,1,2,0,3,0,1,1,0,1,01,30036,210.07039396,0.880797078,1
17,1.0147,3,1,1,2,2,0,4,1,0,0,5,0,02,30022,3268.0642021,0.6224593312,0
17,1.0669,3,1,4,1,2,0,4,1,0,0,3,0,02,30011,331.98467675,0.7502601056,1
17,1.0422,4,1,4,1,1,1,1,1,0,0,3,0,02,30041,256.32596379,0.7502601056,1
17,1.1230,4,2,2,1,2,0,3,0,1,1,0,0,02,30060,776.89057542,0.880797078,1
17,1.1325,4,1,3,1,2,0,3,1,0,0,4,0,01,30008,3823.9619853,0.6899744811,1
17,1.0415,6,4,2,1,2,0,4,0,1,0,4,0,02,30031,482.59323476,0.6899744811,0
17,1.0464,6,1,4,1,2,0,2,1,0,1,0,0,01,30059,1359.0631379,0.880797078,1
17,1.0089,6,3,1,1,2,0,5,0,0,0,4,0,01,30025,132.11904999,0.6899744811,1
17,1.0642,5,1,3,1,2,0,1,1,0,0,4,0,01,30050,1363.582826,0.6899744811,0
17,1.0281,4,1,1,1,1,1,2,1,0,0,5,0,02,30014,982.53392729,0.6224593312,1
17,1.0910,5,2,2,1,1,1,3,0,1,1,0,0,01,30021,3329.1486996,0.880797078,1
17,1.0300,6,1,4,1,2,0,1,1,0,0,3,0,02,30017,353.76734161,0.7502601056,1
17,1.0141,6,1,4,1,1,1,5,1,0,0,4,0,02,30026,2372.9193684,0.6899744811,1
17,1.0855,4,1,2,1,2,0,4,1,0,1,0,0,02,30052,696.28856504,0.880797078,1
17,1.0852,4,4,2,1,2,0,2,0,1,1,0,0,02,30056,3172.8924352,0.880797078,1
17,1.0670,6,1,4,1,2,0,3,1,0,0,4,0,01,30046,6012.0437765,0.6899744811,1
17,1.0669,5,1,4,1,2,0,1,1,0,0,4,0,02,30032,1443.6030935,0.6899744811,0
17,1.0955,4,1,4,1,2,0,2,1,0,0,4,0,01,30036,894.93981753,0.6899744811,0
17,1.1039,5,2,4,1,2,0,4,0,1,0,4,0,01,30009,1987.9513977,0.6899744811,1
17,1.0598,6,4,2,1,2,0,3,0,1,0,3,0,02,30002,46.732277207,0.7502601056,1
17,1.0630,4,1,3,1,1,1,4,1,0,0,5,0,01,30024,1052.6455945,0.6224593312,1
17,1.0955,4,1,4,1,2,0,2,1,0,0,3,0,02,30051,1361.1371952,0.7502601056,1
17,1.0288,6,1,3,1,2,0,1,1,0,0,3,0,01,30024,1548.7190616,0.7502601056,0
17,1.0630,5,1,2,1,1,1,2,1,0,1,0,0,01,30056,321.34843428,0.880797078,0
17,1.0669,3,1,4,1,2,0,4,1,0,0,5,0,01,30045,1056.1518517,0.6224593312,0
17,1.0922,5,1,2,1,2,0,2,1,0,0,4,0,01,30028,483.46587077,0.6899744811,1
17,1.0993,5,2,3,1,2,0,2,0,1,0,3,0,01,30009,3383.3496033,0.7502601056,0
17,1.1380,4,1,4,1,2,0,3,1,0,0,5,0,02,30046,3591.841156,0.6224593312,0
17,1.3341,2,3,3,1,2,0,3,0,0,1,0,1,02,30005,305.01869383,0.880797078,1
17,1.0267,6,4,2,1,2,0,1,0,1,1,0,0,02,30043,63.878356241,0.880797078,1
17,1.0709,2,3,1,1,1,1,2,0,0,1,0,1,01,30015,220.62688117,0.880797078,0
17,1.1380,4,1,4,1,2,0,3,1,0,0,5,0,02,30039,1791.9217938,0.6224593312,1
17,1.0596,3,1,2,1,2,0,4,1,0,0,4,0,02,30027,1079.9703673,0.6899744811,1
17,1.1332,5,4,2,1,2,0,3,0,1,1,0,0,02,30049,4326.9727815,0.880797078,1
17,1.0855,4,1,2,1,2,0,4,1,0,0,5,0,01,30031,684.57271055,0.6224593312,1
17,1.1077,1,4,2,1,1,1,4,0,1,0,1,1,01,30002,10765.479988,0.8455347349,0
17,1.0962,3,1,4,1,2,0,3,1,0,0,3,0,02,30007,1287.2928609,0.7502601056,1
17,1.0408,6,4,2,1,1,1,3,0,1,0,4,0,02,30029,2291.7213791,0.6899744811,1
17,1.0406,4,2,1,1,1,1,3,0,1,0,4,0,01,30020,1175.2831615,0.6899744811,1
17,1.0411,4,3,1,1,2,0,2,0,0,0,2,0,01,30014,208.55498084,0.8021838886,1
17,1.0926,5,4,2,1,2,0,4,0,1,0,5,0,02,30021,3218.3925234,0.6224593312,1
17,1.0855,4,2,2,1,2,0,4,0,1,0,5,0,01,30032,969.56066248,0.6224593312,1
17,1.0670,6,1,4,1,2,0,3,1,0,0,4,0,01,30036,617.61020976,0.6899744811,1
17,1.0910,5,1,2,1,1,1,3,1,0,0,4,0,01,30051,136.01842321,0.6899744811,0
17,1.0407,3,1,2,1,1,1,4,1,0,0,3,0,01,30055,569.1226668,0.7502601056,0
17,1.1094,1,4,1,1,2,0,3,0,1,1,0,1,02,30003,1655.4438213,0.880797078,0
17,1.0653,4,1,4,1,1,1,2,1,0,0,3,0,01,30029,1258.7228345,0.7502601056,0
17,1.0442,5,1,3,1,2,0,5,1,0,0,2,0,02,30020,668.997112,0.8021838886,1
17,1.1494,5,1,4,1,2,0,3,1,0,0,4,0,01,30012,1962.7466152,0.6899744811,0
17,1.0262,3,1,2,1,1,1,1,1,0,1,0,0,02,30049,2779.0181388,0.880797078,1
17,1.0457,3,1,4,1,1,1,4,1,0,1,0,0,01,30003,1321.3450674,0.880797078,0
17,1.0137,6,2,1,1,1,1,4,0,1,0,4,0,01,30018,1015.9028087,0.6899744811,0
17,1.0669,5,1,4,1,2,0,1,1,0,0,3,0,02,30012,3250.1210603,0.7502601056,1
17,1.3479,2,3,4,1,2,0,3,0,0,1,0,1,01,30008,2879.8006565,0.880797078,1
17,1.0196,3,1,2,2,2,0,1,1,0,1,0,0,02,30033,355.57686732,0.880797078,1
