PROCNUM,ADJFACTOR,AGE2,RACE4,INCOME5,IRINSUR4,IRSEX,MALE,YOTMTHLP,WHITE,HISPB,NONE,SMHVST,YOUNG,VEREP,VESTR,adj_wt,rho1,id,one,r,s1,W1,Z_HAT,f_wt4
19,1.3315,5,1,4,1,2,0,4,1,0,0,3,0,01,30051,1365.1575855,0.7502601056,1,1,0.5979178239,1,452.49289289,2.903647003,1817.6504784
19,1.2776,1,2,2,1,2,0,4,0,1,1,0,1,01,30008,2702.0860639,0.880797078,2,1,0.5147648405,1,749.97181711,1.9565189236,3452.057881
19,1.3124,6,4,2,1,2,0,2,0,1,0,2,0,02,30032,1747.291324,0.8021838886,3,1,0.0893599559,1,545.88340637,1.9173387801,2293.1747303
19,1.2776,6,1,3,1,1,1,3,1,0,1,0,0,02,30024,997.14134512,0.880797078,4,1,0.3246392851,1,276.75946984,2.3311441169,1273.900815
19,1.3315,3,1,2,1,2,0,2,1,0,0,3,0,02,30055,1426.422675,0.7502601056,5,1,0.1286365898,1,472.79971892,2.5412769917,1899.2223939
19,1.3517,2,4,2,1,1,1,4,0,1,0,4,1,01,30039,350.09104861,0.6899744811,6,1,0.1065094965,1,123.1131336,1.5652010432,473.20418221
19,1.2945,5,2,1,1,2,0,2,0,1,0,1,0,01,30034,500.991483,0.8455347349,7,1,0.0626466293,1,147.52666064,1.9173387801,648.51814364
19,1.2776,2,1,3,1,2,0,1,1,0,1,0,1,02,30054,715.08741549,0.880797078,9,1,0.6403960146,1,198.47458434,2.0369021182,913.56199983
19,0.0000,4,1,2,1,1,1,2,1,0,0,,0,02,30029,1598.437768,0.7502601056,10,1,0.7882696301,0,-1598.437768,2.1499591112,0
19,1.2776,4,1,2,1,2,0,3,1,0,1,0,0,01,30057,2356.730117,0.880797078,11,1,0.2392876578,1,654.11727327,2.7224619973,3010.8473902
19,1.3315,5,1,1,1,2,0,5,1,0,0,3,0,01,30017,1579.8404907,0.7502601056,12,1,0.3117631512,1,523.65133634,3.0848320087,2103.4918271
19,1.2776,3,1,2,1,2,0,2,1,0,1,0,0,02,30007,247.16541915,0.880797078,14,1,0.0262288777,1,68.601478319,2.5412769917,315.76689747
19,1.3731,4,4,3,1,2,0,3,0,1,0,5,0,02,30027,827.91303729,0.6224593312,15,1,0.6145791549,1,308.88904347,2.0985237858,1136.8020808
19,1.3517,6,1,4,1,2,0,3,1,0,0,4,0,02,30010,1841.1378159,0.6899744811,16,1,0.425394186,1,647.45513145,2.7224619973,2488.5929474
19,1.3517,5,1,2,1,2,0,1,1,0,0,4,0,02,30029,1865.8451231,0.6899744811,17,1,0.2496790086,1,656.14371126,2.360091986,2521.9888344
19,1.3731,6,2,1,1,2,0,2,0,1,0,5,0,02,30042,250.66494852,0.6224593312,18,1,0.407760611,1,93.521484372,1.9173387801,344.18643289
19,1.2776,5,2,2,1,2,0,2,0,1,1,0,0,01,30042,166.39734622,0.880797078,19,1,0.0586946905,1,46.184065627,1.9173387801,212.58141185
19,1.2776,6,1,3,1,2,0,5,1,0,1,0,0,01,30051,764.88524315,0.880797078,20,1,0.359985342,1,212.29611571,3.0848320087,977.18135886
19,1.2945,6,1,3,1,1,1,1,1,0,0,1,0,01,30031,680.15582774,0.8455347349,21,1,0.6030241463,1,200.28507747,1.9687741055,880.44090521
19,0.0000,2,1,1,1,1,1,1,1,0,0,,1,02,30057,1057.6232058,0.6224593312,22,1,0.7050158315,0,-1057.623206,1.6455842377,0
19,1.3517,5,1,3,1,1,1,4,1,0,0,4,0,01,30034,559.08826607,0.6899744811,24,1,0.602478864,1,196.609164,2.5123291226,755.69743007
19,1.3517,4,1,4,1,2,0,4,1,0,0,4,0,02,30006,2244.3553116,0.6899744811,25,1,0.31019273,1,789.25072895,2.903647003,3033.6060406
19,1.3517,4,1,4,1,2,0,2,1,0,0,4,0,02,30049,520.63942596,0.6899744811,26,1,0.2677821444,1,183.08823221,2.5412769917,703.72765817
19,1.2776,5,1,2,1,2,0,2,1,0,1,0,0,01,30051,1352.6865774,0.880797078,27,1,0.0451266933,1,375.44207934,2.5412769917,1728.1286567
19,1.3315,4,1,3,1,2,0,3,1,0,0,3,0,01,30011,440.78952378,0.7502601056,28,1,0.3450259358,1,146.10337216,2.7224619973,586.89289593
19,1.3731,6,1,4,1,1,1,4,1,0,0,5,0,02,30060,853.89702298,0.6224593312,29,1,0.2504844276,1,318.58350186,2.5123291226,1172.4805248
19,1.2776,4,1,4,1,2,0,5,1,0,1,0,0,02,30036,194.74813304,0.880797078,30,1,0.1076265462,1,54.052908664,3.0848320087,248.80104171
19,1.2776,6,1,3,1,2,0,1,1,0,1,0,0,02,30054,995.66939069,0.880797078,31,1,0.7834140327,1,276.35092462,2.360091986,1272.0203153
19,1.2776,2,4,2,1,2,0,2,0,1,1,0,1,02,30018,181.28246432,0.880797078,32,1,0.0755808265,1,50.31547329,1.5941489123,231.59793761
19,1.3315,3,1,2,1,2,0,3,1,0,0,3,0,01,30034,469.74759672,0.7502601056,33,1,0.7256348411,1,155.70176749,2.7224619973,625.44936421
19,0.0000,3,1,3,1,1,1,1,1,0,0,,0,02,30005,2165.4311855,0.6224593312,34,1,0.642154509,0,-2165.431185,1.9687741055,0
19,0.0000,4,1,3,1,1,1,4,1,0,0,,0,02,30019,2015.1611264,0.8455347349,35,1,0.969266382,0,-2015.161126,2.5123291226,0
19,1.2776,2,4,3,1,2,0,3,0,1,1,0,1,01,30036,195.13737948,0.880797078,36,1,0.1195721538,1,54.160945141,1.7753339179,249.29832462
19,1.3731,3,1,1,2,2,0,4,1,0,0,5,0,02,30022,3217.5536813,0.6224593312,37,1,0.0321719921,1,1200.4486391,2.903647003,4418.0023204
19,0.0000,3,1,4,1,2,0,4,1,0,0,,0,02,30011,334.35869773,0.7502601056,38,1,0.9879127038,0,-334.3586977,2.903647003,0
19,1.3315,4,1,4,1,1,1,1,1,0,0,3,0,02,30041,256.72921134,0.7502601056,39,1,0.4502719987,1,85.095043066,1.9687741055,341.82425441
19,1.2776,4,2,2,1,2,0,3,0,1,1,0,0,02,30060,764.22665229,0.880797078,41,1,0.3138020957,1,212.11332191,2.0985237858,976.3399742
19,1.3517,4,1,3,1,2,0,3,1,0,0,4,0,01,30008,3795.2738537,0.6899744811,42,1,0.1344518117,1,1334.6472549,2.7224619973,5129.9211086
19,1.3517,6,4,2,1,2,0,4,0,1,0,4,0,02,30031,487.86878669,0.6899744811,43,1,0.0649291221,1,171.5640984,2.2797087914,659.43288509
19,1.2776,6,1,4,1,2,0,2,1,0,1,0,0,01,30059,1372.9849385,0.880797078,44,1,0.1320370106,1,381.0759483,2.5412769917,1754.0608868
19,1.3517,6,3,1,1,2,0,5,0,0,0,4,0,01,30025,125.36636328,0.6899744811,45,1,0.1583245802,1,44.086376649,2.4608937971,169.45273992
19,1.3517,5,1,3,1,2,0,1,1,0,0,4,0,01,30050,1374.1483983,0.6899744811,46,1,0.4552041094,1,483.23347887,2.360091986,1857.3818772
19,0.0000,4,1,1,1,1,1,2,1,0,0,,0,02,30014,980.06107955,0.6224593312,47,1,0.8623189618,0,-980.0610796,2.1499591112,0
19,0.0000,5,2,2,1,1,1,3,0,1,1,,0,01,30021,3312.2239834,0.880797078,48,1,0.967537472,0,-3312.223983,1.7072059053,0
19,0.0000,6,1,4,1,2,0,1,1,0,0,,0,02,30017,354.39555086,0.7502601056,50,1,0.9805613379,0,-354.3955509,2.360091986,0
19,0.0000,6,1,4,1,1,1,5,1,0,0,,0,02,30026,2319.4877292,0.6899744811,51,1,0.8281702426,0,-2319.487729,2.6935141283,0
19,0.0000,4,1,2,1,2,0,4,1,0,1,,0,02,30052,697.8002869,0.880797078,52,1,0.9053183314,0,-697.8002869,2.903647003,0
19,1.2776,4,4,2,1,2,0,2,0,1,1,0,0,02,30056,3185.9206539,0.880797078,53,1,0.6033262329,1,884.26150961,1.9173387801,4070.1821635
19,0.0000,6,1,4,1,2,0,3,1,0,0,,0,01,30046,6132.13827,0.6899744811,54,1,0.7330862264,0,-6132.13827,2.7224619973,0
